person_id,name,email,gender,age
4,Russel,ru@columbia.edu,male,20
5,Jeremy,je@columbia.edu,male,28
6,Michael,mi@columbia.edu,female,47
7,Ken,ke@columbia.edu,male,17
8,Katherine,ka@columbia.edu,male,22
9,Joan,jo@columbia.edu,male,46
10,Ryo,ry@columbia.edu,female,43
11,George,ge@columbia.edu,male,40
12,Mary,ma@columbia.edu,male,24
13,Nader,na@columbia.edu,male,29
14,Joseph,jo@columbia.edu,female,40
15,Helen,he@columbia.edu,female,48
16,Yishan,yi@columbia.edu,male,50
17,N,n@columbia.edu,male,16
18,Suzie,su@columbia.edu,female,35
19,Steven,st@columbia.edu,female,12
20,Amanda,am@columbia.edu,female,14
21,J,j@columbia.edu,female,44
22,Joe,jo@columbia.edu,male,34
23,King,ki@columbia.edu,male,12
24,edwin,ed@columbia.edu,male,25
25,Kathy,ka@columbia.edu,female,24
26,Suman,su@columbia.edu,female,46
27,Fawn,fa@columbia.edu,male,45
28,Ashley,as@columbia.edu,male,22
29,Angela,an@columbia.edu,male,50
30,Michelle,mi@columbia.edu,female,15
31,Jenni,je@columbia.edu,female,26
32,Bryan,br@columbia.edu,male,17
33,Jason,ja@columbia.edu,male,17
34,Heather,he@columbia.edu,female,18
35,Melisa,me@columbia.edu,male,15
36,Olivia,ol@columbia.edu,male,44
37,C,c@columbia.edu,male,29
38,Anthony,an@columbia.edu,female,45
39,Angela,an@columbia.edu,female,39
40,R,r@columbia.edu,male,33
41,Caroline,ca@columbia.edu,female,27
42,Maya,ma@columbia.edu,male,50
43,Stacey,st@columbia.edu,male,37
44,Tiffany,ti@columbia.edu,female,35
45,Jessica,je@columbia.edu,female,11
46,Dan,da@columbia.edu,male,44
47,Matt,ma@columbia.edu,male,11
48,Chris,ch@columbia.edu,female,27
49,Angela,an@columbia.edu,female,39
50,Sonia,so@columbia.edu,female,40
51,Shari,sh@columbia.edu,female,36
52,Chad,ch@columbia.edu,male,28
53,Steve,st@columbia.edu,male,38
54,Kyle,ky@columbia.edu,female,36
55,Ting,ti@columbia.edu,female,45
56,Angela,an@columbia.edu,male,50
57,Karen,ka@columbia.edu,male,15
58,Holly,ho@columbia.edu,male,50
59,Tony,to@columbia.edu,female,25
60,Emy,em@columbia.edu,female,43
61,Dave,da@columbia.edu,female,28
62,Jennifer,je@columbia.edu,male,46
63,Stephanie,st@columbia.edu,female,37
64,Susan,su@columbia.edu,male,48
65,Brady,br@columbia.edu,female,33
66,Sarah,sa@columbia.edu,male,13
67,Ed,ed@columbia.edu,male,15
68,Mike,mi@columbia.edu,male,36
69,Breanne,br@columbia.edu,female,31
70,Madison,ma@columbia.edu,male,47
71,Ron,ro@columbia.edu,male,13
72,Christy,ch@columbia.edu,male,14
73,K,k@columbia.edu,female,41
74,Kevin,ke@columbia.edu,male,18
75,Arvind,ar@columbia.edu,male,18
76,Kat,ka@columbia.edu,female,34
77,Jennifer,je@columbia.edu,female,13
78,Dolores-Carlos,do@columbia.edu,male,40
79,Antony,an@columbia.edu,male,14
80,Phil,ph@columbia.edu,male,24
81,Latasha,la@columbia.edu,male,48
82,Melina,me@columbia.edu,male,38
83,Amanda,am@columbia.edu,male,46
84,Dan,da@columbia.edu,female,25
85,Robert,ro@columbia.edu,female,19
86,Anny,an@columbia.edu,male,42
87,Mallory,ma@columbia.edu,female,45
88,Nita,ni@columbia.edu,female,36
89,Seth,se@columbia.edu,female,22
90,Dannie,da@columbia.edu,female,32
91,Gin,gi@columbia.edu,female,25
92,Jane,ja@columbia.edu,female,16
93,Matthew,ma@columbia.edu,male,26
94,L.,l.@columbia.edu,male,47
95,Doug,do@columbia.edu,female,26
96,David,da@columbia.edu,female,43
97,jenna,je@columbia.edu,female,46
98,Felicia,fe@columbia.edu,female,23
99,Jenny,je@columbia.edu,male,34
100,Stan,st@columbia.edu,female,26
101,Shari,sh@columbia.edu,female,47
102,John,jo@columbia.edu,male,26
103,Carolyn,ca@columbia.edu,female,20
